time,kafka_connect,risingwave,clickhouse,redpanda,malut_clone
18:00:08,1951,4032,1086,791.6,147.7
18:00:11,1951,4032,1061,791.6,147.7
18:00:15,1951,4031,1079,791.6,147.7
18:00:18,1951,4035,1062,791.6,147.7
18:00:22,1951,4035,1059,791.6,147.7
18:00:25,1951,4035,1065,791.6,147.7
18:00:29,1952,4035,1189,791.6,147.7
18:00:32,1952,4034,1070,791.6,147.7
18:00:36,1952,4034,1073,791.7,147.7
18:00:39,1952,4033,1072,791.7,147.7
18:00:43,1952,4033,1074,791.7,147.7
18:00:46,1952,4034,1084,791.7,182.1
18:00:50,1952,4187,1085,805.1,177.8
18:00:53,2009,4415,1112,827.1,158.2
18:00:56,2113,4634,1111,846.3,157.8
18:01:00,2087,4734,1122,830.8,157
18:01:04,2087,4597,1092,830.8,157
18:01:07,2069,4657,1182,822.1,158.2
18:01:11,2033,4734,1046,804.1,155.1
18:01:14,2025,4720,1060,801.3,154.8
18:01:17,2025,4694,1044,801.3,154.8
18:01:21,2025,4694,1075,800.7,154.8
18:01:24,2025,4615,1058,800.7,154.8
18:01:27,2025,4568,1058,800.7,154.8
18:01:31,2025,4570,1062,800.7,154.8
18:01:35,2025,4571,1045,800.7,154.8
18:01:38,2025,4572,1045,800.8,154.8
18:01:41,2025,4551,1043,800.8,154.8
18:01:45,2025,4551,1162,800.8,154.8
18:01:48,2032,4551,1062,800.8,154.8
18:01:51,2032,4548,1067,800.8,154.8
18:01:55,2032,4550,1057,800.8,154.8
18:01:58,2032,4550,1055,800.8,154.8
18:02:02,2032,4550,1076,800.8,154.8
18:02:05,2032,4548,1042,800.8,154.8
18:02:08,2032,4548,1056,800.8,154.9
18:02:12,2032,4548,1037,800.8,154.8
18:02:15,2032,4547,1044,800.8,154.8
18:02:19,2032,4549,1033,800.8,154.8
18:02:22,2032,4549,1147,800.8,154.8
18:02:26,2032,4549,1042,800.8,154.8
18:02:30,2032,4549,1052,800.8,155
18:02:33,2032,4453,1039,800.8,154.8
18:02:36,2032,4451,1042,800.8,154.8
18:02:40,2032,4450,1060,800.8,154.8
18:02:43,2032,4438,1049,800.8,154.8
18:02:46,2032,4439,1053,800.8,154.8
18:02:50,2032,4433,1041,800.8,154.8
18:02:54,2032,4434,1050,800.8,154.8
18:02:57,2032,4434,1041,800.8,154.8
18:03:00,2032,4435,1123,800.8,154.8
18:03:04,2032,4433,1041,800.8,154.8
