time,kafka_connect,risingwave,clickhouse,redpanda,malut_clone
18:28:09,349,186,216,75,167
18:28:13,415,186,212,75,167
18:28:16,561,186,266,75,167
18:28:19,472,186,260,278,167
18:28:23,472,186,278,278,167
18:28:27,472,186,274,278,167
18:28:30,472,186,277,278,167
18:28:34,473,186,272,278,167
18:28:37,473,186,278,278,167
18:28:41,473,186,296,278,167
18:28:45,473,186,307,278,167
18:28:48,473,186,365,278,167
18:28:51,473,186,340,278,167
18:28:55,473,186,350,278,167
18:28:58,474,186,350,280,167
18:29:02,473,186,348,280,167
18:29:05,473,186,359,280,167
18:29:08,474,186,353,280,167
18:29:12,474,186,361,280,167
18:29:15,474,186,353,280,167
18:29:18,474,186,377,280,167
18:29:22,474,186,372,280,167
18:29:26,474,186,423,280,167
18:29:29,474,186,390,280,167
18:29:32,474,186,388,280,167
18:29:36,516,186,382,280,173
18:29:39,528,186,385,290,173
18:29:43,789,186,383,322,174
18:29:46,904,186,384,361,174
18:29:49,953,186,398,425,174
18:29:53,1002,186,398,490,174
18:29:57,1114,186,409,568,174
18:30:01,1054,186,406,653,174
18:30:04,1044,186,464,711,174
18:30:08,1107,186,419,784,174
18:30:12,1058,186,433,863,174
18:30:15,1056,186,428,895,174
18:30:18,1046,186,436,895,174
18:30:22,1022,186,432,895,174
18:30:26,1078,186,425,895,174
18:30:29,1083,186,449,895,174
18:30:33,1264,186,441,895,174
18:30:37,1381,186,453,896,174
18:30:39,1676,186,453,896,174
18:30:43,1697,186,498,897,257
18:30:47,1697,186,458,897,177
18:30:50,1697,186,473,897,177
18:30:54,1697,186,458,897,177
18:30:58,1697,186,474,897,177
18:31:01,1697,186,463,897,177
18:31:05,1697,186,491,897,177
18:31:08,1697,186,484,897,177
18:31:11,1697,186,478,897,177
18:31:15,1697,186,489,897,177
18:31:18,1697,186,487,897,177
18:31:22,1697,186,524,897,177
18:31:25,1697,186,496,897,177
18:31:28,1697,186,498,897,177
18:31:32,1697,186,490,897,177
18:31:36,1697,205,500,897,177
18:31:39,1697,457,501,897,177
