time,risingwave,clickhouse,malut_clone
15:26:25,100,487,131
15:26:28,99,475,131
15:26:31,99,476,131
15:26:35,99,506,131
15:26:39,99,488,131
15:26:42,99,497,131
15:26:45,100,488,131
15:26:49,99,502,131
15:26:52,100,493,131
15:26:55,99,499,131
15:26:59,99,506,131
15:27:02,99,495,131
15:27:06,161,507,131
15:27:09,352,506,141
15:27:12,446,528,143
15:27:16,544,512,143
15:27:20,1445,525,143
15:27:23,1968,526,141
15:27:26,2413,526,141
15:27:30,2745,521,141
15:27:33,3057,523,141
15:27:37,3181,531,141
15:27:41,3385,574,141
15:27:44,3495,598,141
15:27:48,3633,1023,141
15:27:51,3709,697,141
15:27:54,3880,653,141
15:27:58,4169,838,141
15:28:01,4269,700,139
15:28:04,4254,668,139
15:28:08,4293,767,135
15:28:11,4200,660,135
15:28:14,4062,633,135
15:28:17,4027,630,135
15:28:21,3994,622,135
15:28:24,3991,602,135
15:28:27,3994,657,135
15:28:31,3989,620,135
15:28:34,3988,606,135
15:28:37,3983,614,135
15:28:41,3984,612,135
15:28:44,3984,616,135
15:28:47,3984,611,135
15:28:51,3985,618,135
15:28:54,3985,620,135
15:28:57,3985,620,135
15:29:01,3984,626,135
15:29:04,3987,621,135
15:29:07,3986,654,135
15:29:11,3986,620,135
15:29:14,3986,637,135
15:29:17,3987,621,135
15:29:21,3987,629,135
15:29:24,3985,629,135
15:29:27,3988,624,135
15:29:31,3987,633,135
15:29:34,3987,626,135
15:29:37,3984,631,135
15:29:41,3986,627,135
15:29:44,3986,661,135
15:29:47,3986,638,135
15:29:51,3987,642,135
15:29:54,3987,641,135
15:29:57,3987,635,135
15:30:01,3985,646,135
15:30:04,3986,638,136
15:30:07,3986,654,136
15:30:11,3986,648,136
15:30:14,3987,643,136
15:30:17,3990,650,136
15:30:21,3990,643,136
15:30:24,3989,698,136
15:30:27,3987,655,136
15:30:31,3987,665,136
15:30:34,3986,660,136
15:30:37,3985,666,136
15:30:41,3988,659,136
15:30:44,3991,666,136
15:30:47,3990,660,136
15:30:51,3990,656,136
15:30:54,3990,669,136
15:30:57,3990,659,136
15:31:01,3988,712,136
15:31:04,3989,667,136
15:31:07,3989,681,136
15:31:11,3989,674,236
15:31:14,3980,679,288
15:31:17,3980,676,272
15:31:21,3980,672,272
15:31:24,3978,683,272
15:31:27,3981,670,272
15:31:31,3980,687,272
15:31:34,4020,674,247
15:31:37,4264,735,245
15:31:41,4475,702,242
15:31:44,4554,675,242
15:31:48,4504,703,240
15:31:51,4514,677,240
15:31:54,4624,696,239
15:31:58,4688,740,239
15:32:01,4733,687,242
15:32:04,4880,682,247
15:32:08,5036,734,280
15:32:11,5040,690,280
15:32:14,5002,697,283
15:32:18,5125,762,284
15:32:21,5133,691,287
15:32:24,5267,694,284
15:32:28,5256,729,281
15:32:31,5321,673,279
15:32:34,5467,690,276
15:32:38,5536,706,272
15:32:41,5605,669,271
15:32:44,5732,650,267
15:32:48,5830,696,263
15:32:51,5959,656,258
15:32:54,5978,662,256
15:32:58,6022,733,256
15:33:01,6014,639,258
15:33:04,6107,655,254
15:33:08,6089,716,257
15:33:11,6149,680,255
15:33:14,6177,638,253
15:33:18,6134,646,249
15:33:21,6070,656,251
15:33:24,6323,688,247
15:33:28,6359,628,243
15:33:31,6424,601,242
15:33:34,6372,652,240
15:33:38,6361,598,239
15:33:41,6406,606,237
15:33:44,6359,625,236
15:33:48,6392,602,235
15:33:51,6370,692,235
15:33:54,6338,584,234
15:33:58,6281,593,235
15:34:02,6332,600,235
15:34:05,6391,613,225
15:34:09,6280,625,226
15:34:12,6290,655,226
15:34:16,6217,641,225
15:34:20,6247,630,224
15:34:23,6303,674,224
15:34:27,6257,591,224
15:34:30,6346,625,223
15:34:33,6342,589,223
15:34:37,6262,596,223
15:34:41,6219,593,223
15:34:44,6077,596,223
15:34:47,6054,586,223
15:34:51,6054,585,223
15:34:54,6028,615,223
15:34:57,6029,583,223
15:35:01,6027,593,223
15:35:04,6024,592,223
15:35:08,6027,597,226
15:35:11,6027,596,226
15:35:14,6027,605,226
15:35:18,6026,607,226
15:35:21,6026,599,226
15:35:24,6026,603,226
15:35:28,6024,596,226
15:35:31,6027,646,226
15:35:34,6027,602,226
15:35:38,6027,609,226
15:35:41,6025,605,226
15:35:44,6029,609,226
15:35:48,6030,605,226
15:35:51,6029,608,227
15:35:54,6029,619,226
15:35:58,6029,614,226
15:36:01,6028,619,226
15:36:04,6040,613,226
15:36:08,6040,676,227
15:36:11,6036,636,227
15:36:14,6031,616,227
15:36:18,6028,625,227
15:36:21,6028,613,227
15:36:24,6029,624,227
15:36:28,6027,626,227
15:36:31,6027,628,227
15:36:34,6028,615,227
15:36:38,6027,628,227
15:36:41,6027,621,227
15:36:44,6029,618,227
15:36:48,6029,665,227
15:36:51,6029,630,227
15:36:54,6030,629,227
15:36:58,6029,624,227
15:37:01,6029,631,227
15:37:04,6028,632,227
15:37:08,6031,635,227
15:37:11,6034,639,227
15:37:14,6034,629,227
15:37:18,6031,636,227
15:37:21,6030,629,227
15:37:24,6030,692,227
15:37:28,6029,642,227
15:37:31,6115,649,227
15:37:34,6109,640,227
15:37:38,6100,633,227
15:37:41,6056,641,227
15:37:44,6054,638,227
15:37:48,6054,651,227
